Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_000.tif,24.529353445927825,0.20265084760584,0.8473349809646606,0.0449533611536026,0.4829579688608646
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_001.tif,25.00437824422944,0.2472675455988656,0.8420860767364502,0.0393271818757057,0.406271956115961
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_002.tif,24.886404951748545,0.1746979686621705,0.8424732089042664,0.0436000451445579,0.4586252361536026
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_003.tif,23.661353137494743,0.1917552216670519,0.8365515470504761,0.0539187379181385,0.4613725453615188
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_004.tif,25.60093887572956,0.2700825353220173,0.8290926218032837,0.0324302315711975,0.391327279061079
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_005.tif,24.366807041118484,0.1838388700851681,0.8232955932617188,0.0448435693979263,0.5039499521255493
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_007.tif,24.499410369639136,0.2167233678197516,0.8530879020690918,0.0438325256109237,0.4651922538876533
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_009.tif,25.103675207433437,0.1914987350397443,0.8530247807502747,0.0423878394067287,0.4651984803378582
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_008.tif,23.867313032041487,0.2169792773962466,0.8243589997291565,0.0464482754468917,0.5060268566012383
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_011.tif,24.634281000577708,0.2232935179014575,0.84880131483078,0.0417667850852012,0.4244902774691582
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_006.tif,24.44193161113183,0.1897563671710055,0.8380152583122253,0.0437686331570148,0.4992616973817348
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_010.tif,24.976381536597923,0.2166734568509891,0.8452525734901428,0.0407678000628948,0.4543951891362667
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_012.tif,24.950369006775578,0.2119729187072785,0.8478030562400818,0.0439036004245281,0.4407542467117309
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_016.tif,25.38853591506513,0.2339293881502532,0.8422539830207825,0.0369267538189888,0.3815727554261684
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_013.tif,24.15555941698196,0.203240977741124,0.8530507683753967,0.0496199391782283,0.4249821379780769
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_014.tif,23.68706727294078,0.1666069279019729,0.8468173742294312,0.0521103218197822,0.5372504897415638
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_015.tif,25.64175943756157,0.2448081791586796,0.8456721901893616,0.0349046625196933,0.4025199957191944
