Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_000.tif,28.6642775630235,0.29069338948460216,0.9311259388923645,0.03317568451166153,0.13551947728847152
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_001.tif,25.085031710286174,0.24628791304877395,0.9122570157051086,0.052814651280641556,0.16264444222906604
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_002.tif,25.60309423219112,0.19227758795202227,0.8878496289253235,0.05068904161453247,0.10932949947309681
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_003.tif,27.6514803357529,0.2691837296688339,0.9194527864456177,0.03805387765169144,0.13164014915237204
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_004.tif,27.190719892753535,0.274782752331809,0.9239003658294678,0.04046960547566414,0.13386854371638038
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_005.tif,29.85505009403169,0.311616080221608,0.9274024963378906,0.02841159701347351,0.12051057443022728
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_007.tif,24.728729378921233,0.22681183959928197,0.9085093140602112,0.05552198365330696,0.14899449654622005
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_009.tif,27.485529942272503,0.2377180354087323,0.9071254730224609,0.04001757875084877,0.11555214357504155
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_008.tif,24.745912507776776,0.2323058433840189,0.8904953598976135,0.05549151822924614,0.14152813523542135
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_011.tif,25.829740770035308,0.2427728745432012,0.9176101684570312,0.048223719000816345,0.13838819250813686
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_006.tif,28.129669507302573,0.25453836624326537,0.9110761880874634,0.03651934489607811,0.12398626494396012
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_010.tif,23.25142149257951,0.19440993219637537,0.8743072152137756,0.06696043908596039,0.13306187152629717
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_012.tif,27.244275346887665,0.26370608877990864,0.9228552579879761,0.040095627307891846,0.14292047182680107
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_016.tif,23.157272526634813,0.19064666519378826,0.8715816736221313,0.06768802553415298,0.12222268762998283
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_013.tif,25.03820086631242,0.22378069676423312,0.9022555947303772,0.05343075841665268,0.12660309189232066
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_014.tif,26.20608041411344,0.22060637758697385,0.8972719311714172,0.047117844223976135,0.13630782256368548
